branch,planned_budget,validated_eval_budget,last_observed_step,completion_status,throughput_fps,elapsed_seconds,elapsed_hms,source_evidence
PPO completed baseline,500000,500000,501760,completed 500K baseline,about 40,12417,3h26m,docs/RESULT_SUMMARY.md; PPO completed-baseline training log
SAC fast-result branch,500000,400000,418697,partial run; 400K best-checkpoint result,about 36,11400,3h10m,docs/RESULT_SUMMARY.md; SAC fast-result training log
